slot_id,number_plate
C39,NL-04-EO-0119
C40,ML-09-EP-0120
D1,JH-22-EQ-0121
D2,UP-22-ER-0122
D3,HR-65-ES-0123
D4,HP-47-ET-0124
D5,JK-20-EU-0125
D6,HP-34-EV-0126
D7,OD-30-EW-0127
D8,KA-05-EX-0128
D9,RJ-14-EY-0129
D10,JH-01-EZ-0130
D11,RJ-10-FA-0131
D12,WB-34-FB-0132
D13,JK-03-FC-0133
D14,AS-01-FD-0134
D15,TN-77-FE-0135
D16,KA-43-FF-0136
D17,UP-58-FG-0137
D18,TN-68-FH-0138
D19,UP-37-FI-0139
D20,AS-22-FJ-0140
D21,HR-70-FK-0141
D22,PB-54-FL-0142
D23,KL-52-FM-0143
D24,NL-05-FN-0144
D25,WB-06-FO-0145
D26,RJ-20-FP-0146
D27,GA-07-FQ-0147
D28,KL-49-FR-0148
D29,MH-37-FS-0149
D30,AP-03-FT-0150
D31,WB-69-FU-0151
D32,UP-24-FV-0152
D33,CG-01-FW-0153
D34,MP-04-FX-0154
D35,TR-01-FY-0155
D36,KA-31-FZ-0156
D37,KL-37-GA-0157
D38,HR-39-GB-0158
D39,UP-23-GC-0159
D40,JK-18-GD-0160
E1,MH-25-GE-0161
E2,MP-65-GF-0162
E3,GJ-21-GG-0163
E4,MH-10-GH-0164
E5,RJ-43-GI-0165
E6,WB-62-GJ-0166
E7,WB-39-GK-0167
E8,HR-11-GL-0168
E9,PB-20-GM-0169
E10,HP-65-GN-0170
E11,AS-23-GO-0171
E12,PB-17-GP-0172
E13,AS-24-GQ-0173
E14,KA-23-GR-0174
E15,JH-22-GS-0175
E16,UP-52-GT-0176
E17,KA-29-GU-0177
E18,HP-67-GV-0178
E19,MH-39-GW-0179
E20,HR-57-GX-0180
E21,PB-51-GY-0181
E22,HR-50-GZ-0182
E23,JK-01-HA-0183
E24,UP-31-HB-0184
E25,CH-04-HC-0185
E26,TN-12-HD-0186
E27,RJ-03-HE-0187
E28,HP-67-HF-0188
E29,MH-50-HG-0189
E30,HR-62-HH-0190
E31,GA-08-HI-0191
E32,JH-09-HJ-0192
E33,AR-03-HK-0193
E34,HP-05-HL-0194
E35,NL-05-HM-0195
E36,WB-79-HN-0196
E37,BR-43-HO-0197
E38,MP-54-HP-0198
E39,AR-01-HQ-0199
E40,TN-79-HR-0200
F1,AP-23-HS-0201
F2,AN-02-HT-0202
F3,HR-46-HU-0203
F4,NL-03-HV-0204
F5,KA-45-HW-0205
F6,TR-01-HX-0206
F7,JK-04-HY-0207
F8,WB-29-HZ-0208
F9,PB-75-IA-0209
F10,NL-01-IB-0210
F11,HP-21-IC-0211
F12,MP-25-ID-0212
F13,HP-06-IE-0213
F14,BR-08-IF-0214
F15,RJ-06-IG-0215
F16,HP-05-IH-0216
F17,HR-80-II-0217
F18,HR-63-IJ-0218
F19,WB-34-IK-0219
F20,JK-04-IL-0220
F21,HP-19-IM-0221
F22,BR-09-IN-0222
F23,AS-22-IO-0223
F24,BR-43-IP-0224
F25,GJ-15-IQ-0225
F26,UP-47-IR-0226
F27,HP-71-IS-0227
F28,MP-49-IT-0228
F29,MH-24-IU-0229
F30,OD-05-IV-0230
F31,BR-32-IW-0231
F32,OD-22-IX-0232
F33,HP-07-IY-0233
F34,GJ-28-IZ-0234
F35,BR-50-JA-0235
F36,LD-09-JB-0236
F37,BR-19-JC-0237
F38,KA-27-JD-0238
F39,HP-09-JE-0239
F40,BR-55-JF-0240
G1,KA-30-JG-0241
G2,MH-54-JH-0242
G3,PB-42-JI-0243
G4,UA-11-JJ-0244
G5,JK-04-JK-0245
G6,HP-72-JL-0246
G7,HP-57-JM-0247
G8,WB-13-JN-0248
G9,MH-54-JO-0249
G10,ML-05-TF-0500
G11,HP-26-TG-0501
G12,WB-09-TH-0502
G13,DL-10-TI-0503
G14,WB-11-TJ-0504
G15,AP-07-TK-0505
G16,CG-04-TL-0506
G17,GJ-18-TM-0507
G18,HP-05-TN-0508
G19,WB-14-TO-0509
G20,AP-27-TP-0510
G21,KL-42-TQ-0511
G22,RJ-05-TR-0512
G23,MP-24-TS-0513
G24,PB-45-TT-0514
G25,MZ-07-TU-0515
G26,HR-41-TV-0516
G27,MH-24-TW-0517
G28,KL-50-TX-0518
G29,UP-91-TY-0519
G30,BR-10-TZ-0520
G31,GA-05-UA-0521
G32,PB-27-UB-0522
G33,NL-03-UC-0523
G34,UP-40-UD-0524
G35,PB-66-UE-0525
G36,RJ-07-UF-0526
G37,CG-04-UG-0527
G38,AP-10-UH-0528
G39,MP-49-UI-0529
G40,PB-71-UJ-0530
H1,AS-09-UK-0531
H2,PB-54-UL-0532
H3,UP-91-UM-0533
H4,RJ-32-UN-0534
H5,KA-19-UO-0535
H6,PB-36-UP-0536
H7,KL-01-UQ-0537
H8,KA-07-UR-0538
H9,AS-21-US-0539
H10,RJ-21-UT-0540
H11,CG-11-UU-0541
H12,HR-55-UV-0542
H13,JH-09-UW-0543
H14,HR-12-UX-0544
H15,BR-22-UY-0545
H16,HP-23-UZ-0546
H17,WB-61-VA-0547
H18,TN-42-VB-0548
H19,MZ-04-VC-0549
H20,JK-04-VD-0550
H21,HP-11-VE-0551
H22,PB-64-VF-0552
H23,CG-21-VG-0553
H24,PB-06-VH-0554
H25,PB-73-VI-0555
H26,UP-43-VJ-0556
H27,CG-01-VK-0557
H28,KA-01-VL-0558
H29,PB-21-VM-0559
H30,AP-31-VN-0560
H31,HR-21-VO-0561
H32,KA-40-VP-0562
H33,JK-02-VQ-0563
H34,HP-17-VR-0564
H35,KL-69-VS-0565
H36,HP-41-VT-0566
H37,MH-47-VU-0567
H38,UP-78-VV-0568
H39,MZ-08-VW-0569
H40,GJ-15-VX-0570
I1,UP-73-VY-0571
I2,GJ-30-VZ-0572
I3,HR-11-WA-0573
I4,HP-33-WB-0574
I5,KA-25-WC-0575
I6,JH-06-WD-0576
I7,HP-58-WE-0577
I8,TN-21-WF-0578
I9,TN-88-WG-0579
I10,PB-66-WH-0580
I11,HP-05-WI-0581
I12,OD-23-WJ-0582
I13,UP-95-WK-0583
I14,MH-36-WL-0584
I15,KA-48-WM-0585
I16,UP-42-WN-0586
I17,MP-19-WO-0587
I18,MH-44-WP-0588
I19,HP-10-WQ-0589
I20,RJ-01-WR-0590
I21,MH-47-WS-0591
I22,AR-08-WT-0592
I23,NL-04-WU-0593
I24,TN-31-WV-0594
I25,PB-28-WW-0595
I26,JK-21-WX-0596
I27,HP-33-WY-0597
I28,PB-32-WZ-0598
I29,TN-02-XA-0599
I30,HR-31-XB-0600
I31,UP-42-XC-0601
I32,MP-22-XD-0602
I33,JK-01-XE-0603
I34,KL-44-XF-0604
I35,DL-12-XG-0605
I36,MH-37-XH-0606
I37,JK-22-XI-0607
I38,KL-55-XJ-0608
I39,RJ-31-XK-0609
I40,OD-08-XL-0610
J1,MP-46-XM-0611
J2,MP-70-XN-0612
J3,GJ-6-XO-0613
J4,TN-60-XP-0614
J5,MH-50-XQ-0615
J6,WB-89-XR-0616
J7,RJ-10-XS-0617
J8,HR-60-XT-0618
J9,PB-53-XU-0619
J10,MH-01-XV-0620
J11,CG-26-XW-0621
J12,JK-15-XX-0622
J13,DL-10-XY-0623
J14,JH-22-XZ-0624
J15,JK-13-YA-0625
J16,RJ-43-YB-0626
J17,OD-09-YC-0627
J18,GJ-32-YD-0628
J19,TN-42-YE-0629
J20,KL-62-YF-0630
J21,MH-10-YG-0631
J22,OD-18-YH-0632
J23,HR-17-YI-0633
J24,TN-61-YJ-0634
J25,KL-27-YK-0635
J26,GJ-12-YL-0636
J27,GJ-3-YM-0637
J28,PB-01-YN-0638
J29,HP-22-YO-0639
J30,WB-74-YP-0640
J31,KL-30-YQ-0641
J32,MH-14-YR-0642
J33,GJ-20-YS-0643
J34,HP-18-YT-0644
J35,PB-07-YU-0645
J36,MP-27-YV-0646
J37,GJ-16-YW-0647
J38,GJ-12-YX-0648
J39,WB-58-YY-0649
J40,MH-04-YZ-0650
K1,KA-21-ZA-0651
K2,PB-65-ZB-0652
K3,AP-23-ZC-0653
K4,MH-22-ZD-0654
K5,OD-26-ZE-0655
K6,RJ-05-ZF-0656
K7,AS-03-ZG-0657
K8,BR-56-ZH-0658
K9,OD-11-ZI-0659
K10,RJ-14-ZJ-0660
K11,BR-24-ZK-0661
K12,BR-07-ZL-0662
K13,JK-04-ZM-0663
K14,KA-41-ZN-0664
K15,JH-16-ZO-0665
K16,TN-20-ZP-0666
K17,HR-70-ZQ-0667
K18,KL-43-ZR-0668
K19,BR-51-ZS-0669
K20,MH-46-ZT-0670
K21,GA-11-ZU-0671
K22,UP-30-ZV-0672
K23,UP-56-ZW-0673
K24,AP-24-ZX-0674
K25,PB-14-ZY-0675
K26,WB-14-ZZ-0676
K27,UA-10-AA-0677
K28,JK-07-AB-0678
K29,TN-07-AC-0679
K30,CG-22-AD-0680
K31,UP-22-AE-0681
K32,KA-25-AF-0682
K33,HR-29-AG-0683
K34,PY-03-AH-0684
K35,TN-46-AI-0685
K36,HR-68-AJ-0686
K37,HR-25-AK-0687
K38,LD-02-AL-0688
K39,BR-11-AM-0689
K40,TN-11-AN-0690
L1,RJ-42-AO-0691
L2,GJ-18-AP-0692
L3,PB-65-AQ-0693
L4,RJ-11-AR-0694
L5,MH-43-AS-0695
L6,AP-23-AT-0696
L7,DL-8-AU-0697
L8,UP-85-AV-0698
L9,WB-13-AW-0699
L10,MP-18-AX-0700
L11,CH-01-AY-0701
L12,RJ-05-AZ-0702
L13,GA-09-BA-0703
L14,AP-04-BB-0704
L15,MP-18-BC-0705
L16,AP-01-BD-0706
L17,KA-49-BE-0707
L18,AS-16-BF-0708
L19,UP-45-BG-0709
L20,WB-61-BH-0710
L21,RJ-15-BI-0711
L22,PB-29-BJ-0712
L23,HR-03-BK-0713
L24,HP-32-BL-0714
L25,KL-31-BM-0715
L26,CG-09-BN-0716
L27,KL-51-BO-0717
L28,UP-84-BP-0718
L29,MP-32-BQ-0719
L30,NL-02-BR-0720
L31,TN-30-BS-0721
L32,PB-47-BT-0722
L33,TN-07-BU-0723
L34,MH-42-BV-0724
L35,OD-17-BW-0725
L36,KL-08-BX-0726
L37,KA-50-BY-0727
L38,UP-44-BZ-0728
L39,HR-70-CA-0729
L40,HR-46-CB-0730
M1,HR-27-CC-0731
M2,KA-21-CD-0732
M3,WB-89-CE-0733
M4,UP-82-CF-0734
M5,KL-20-CG-0735
M6,KL-49-CH-0736
M7,BR-26-CI-0737
M8,HP-48-CJ-0738
M9,UP-82-CK-0739
M10,NL-05-CL-0740
M11,HP-27-CM-0741
M12,PB-20-CN-0742
M13,JK-18-CO-0743
M14,KL-01-CP-0744
M15,HR-06-CQ-0745
M16,RJ-28-CR-0746
M17,MP-10-CS-0747
M18,HP-30-CT-0748
M19,GJ-14-CU-0749
M20,CG-06-CV-0750
