number_plate,cost
HP-34-EV-0126,78.85
OD-30-EW-0127,218.61
KA-05-EX-0128,274.87
RJ-14-EY-0129,19.79
JH-01-EZ-0130,378.05
RJ-10-FA-0131,401.49
WB-34-FB-0132,23.29
JK-03-FC-0133,283.88
AS-01-FD-0134,399.81
TN-77-FE-0135,115.82
KA-43-FF-0136,484.62
UP-58-FG-0137,13.87
TN-68-FH-0138,427.51
UP-37-FI-0139,407.55
AS-22-FJ-0140,182.6
HR-70-FK-0141,297.02
PB-54-FL-0142,293.45
KL-52-FM-0143,158.19
NL-05-FN-0144,123.69
WB-06-FO-0145,124.19
RJ-20-FP-0146,414.24
GA-07-FQ-0147,352.56
KL-49-FR-0148,336.54
MH-37-FS-0149,417.4
AP-03-FT-0150,217.43
WB-69-FU-0151,391.45
UP-24-FV-0152,382.76
CG-01-FW-0153,336.47
MP-04-FX-0154,94.32
TR-01-FY-0155,109.42
KA-31-FZ-0156,466.04
KL-37-GA-0157,493.97
HR-39-GB-0158,316.99
UP-23-GC-0159,310.45
JK-18-GD-0160,382.08
MH-25-GE-0161,441.14
MP-65-GF-0162,427.52
GJ-21-GG-0163,52.3
MH-10-GH-0164,188.66
RJ-43-GI-0165,85.91
WB-62-GJ-0166,219.89
WB-39-GK-0167,461.45
HR-11-GL-0168,205.57
PB-20-GM-0169,251.79
HP-65-GN-0170,88.28
AS-23-GO-0171,383.33
PB-17-GP-0172,11.33
AS-24-GQ-0173,269.57
KA-23-GR-0174,240.86
JH-22-GS-0175,222.61
UP-52-GT-0176,92.52
KA-29-GU-0177,418.18
HP-67-GV-0178,329.76
MH-39-GW-0179,109.69
HR-57-GX-0180,383.12
PB-51-GY-0181,283.08
HR-50-GZ-0182,100.66
JK-01-HA-0183,290.91
UP-31-HB-0184,385.69
CH-04-HC-0185,178.82
TN-12-HD-0186,175.23
RJ-03-HE-0187,249.5
HP-67-HF-0188,245.76
MH-50-HG-0189,420.15
HR-62-HH-0190,154.71
GA-08-HI-0191,170.25
JH-09-HJ-0192,400.08
AR-03-HK-0193,206.09
HP-05-HL-0194,26.14
NL-05-HM-0195,352.58
WB-79-HN-0196,353.61
BR-43-HO-0197,356.84
MP-54-HP-0198,168.8
AR-01-HQ-0199,460.78
TN-79-HR-0200,443.62
AP-23-HS-0201,239.28
AN-02-HT-0202,15.54
HR-46-HU-0203,30.47
NL-03-HV-0204,84.03
KA-45-HW-0205,162.47
TR-01-HX-0206,24.9
JK-04-HY-0207,390.44
WB-29-HZ-0208,412.27
PB-75-IA-0209,18.92
NL-01-IB-0210,418.14
HP-21-IC-0211,497.54
MP-25-ID-0212,432.18
HP-06-IE-0213,160.4
BR-08-IF-0214,203.38
RJ-06-IG-0215,110.23
HP-05-IH-0216,442.89
HR-80-II-0217,380.4
HR-63-IJ-0218,111.79
WB-34-IK-0219,242.48
JK-04-IL-0220,211.53
HP-19-IM-0221,164.52
BR-09-IN-0222,421.15
AS-22-IO-0223,492.02
BR-43-IP-0224,439.26
GJ-15-IQ-0225,381.93
UP-47-IR-0226,197.82
HP-71-IS-0227,17.84
MP-49-IT-0228,310.27
MH-24-IU-0229,207.3
OD-05-IV-0230,159.79
BR-32-IW-0231,454.18
OD-22-IX-0232,446.47
HP-07-IY-0233,120.75
GJ-28-IZ-0234,483.89
BR-50-JA-0235,426.39
LD-09-JB-0236,358.07
BR-19-JC-0237,498.94
KA-27-JD-0238,350.8
HP-09-JE-0239,156.07
BR-55-JF-0240,78.12
KA-30-JG-0241,369.14
MH-54-JH-0242,112.81
PB-42-JI-0243,479.46
UA-11-JJ-0244,293.42
JK-04-JK-0245,41.81
HP-72-JL-0246,289.41
HP-57-JM-0247,447.52
WB-13-JN-0248,109.96
MH-54-JO-0249,481.31
ML-05-TF-0500,161.36
HP-26-TG-0501,160.6
WB-09-TH-0502,181.39
DL-10-TI-0503,447.75
WB-11-TJ-0504,497.12
AP-07-TK-0505,202.46
CG-04-TL-0506,158.49
GJ-18-TM-0507,273.82
HP-05-TN-0508,68.92
WB-14-TO-0509,64.57
AP-27-TP-0510,218.12
KL-42-TQ-0511,109.35
RJ-05-TR-0512,451.31
MP-24-TS-0513,285.99
PB-45-TT-0514,74.31
MZ-07-TU-0515,353.68
HR-41-TV-0516,491.02
MH-24-TW-0517,435.4
KL-50-TX-0518,209.44
UP-91-TY-0519,497.24
BR-10-TZ-0520,110.41
GA-05-UA-0521,475.59
PB-27-UB-0522,200.89
NL-03-UC-0523,377.94
UP-40-UD-0524,476.11
PB-66-UE-0525,39.03
RJ-07-UF-0526,382.92
CG-04-UG-0527,72.14
AP-10-UH-0528,244.44
MP-49-UI-0529,415.19
PB-71-UJ-0530,463.44
AS-09-UK-0531,212.82
PB-54-UL-0532,11.37
UP-91-UM-0533,383.11
RJ-32-UN-0534,321.15
KA-19-UO-0535,310.77
PB-36-UP-0536,303.35
KL-01-UQ-0537,185.23
KA-07-UR-0538,162.35
AS-21-US-0539,157.25
RJ-21-UT-0540,264.07
CG-11-UU-0541,121.53
HR-55-UV-0542,97.81
JH-09-UW-0543,337.76
HR-12-UX-0544,441.71
BR-22-UY-0545,412.53
HP-23-UZ-0546,419
WB-61-VA-0547,400.82
TN-42-VB-0548,322.9
MZ-04-VC-0549,206.77
JK-04-VD-0550,145.97
HP-11-VE-0551,41.15
PB-64-VF-0552,370.87
CG-21-VG-0553,35.32
PB-06-VH-0554,160.12
PB-73-VI-0555,321.87
UP-43-VJ-0556,365.41
CG-01-VK-0557,313.3
KA-01-VL-0558,434.85
PB-21-VM-0559,365.19
AP-31-VN-0560,301.03
HR-21-VO-0561,402.33
KA-40-VP-0562,64.41
JK-02-VQ-0563,84.35
HP-17-VR-0564,186.06
KL-69-VS-0565,290.73
HP-41-VT-0566,120.61
MH-47-VU-0567,71.25
UP-78-VV-0568,388.91
MZ-08-VW-0569,311.72
GJ-15-VX-0570,165.31
UP-73-VY-0571,158.92
GJ-30-VZ-0572,75.08
HR-11-WA-0573,337.15
HP-33-WB-0574,126.66
KA-25-WC-0575,303.47
JH-06-WD-0576,257.29
HP-58-WE-0577,417.32
TN-21-WF-0578,114.9
TN-88-WG-0579,117.79
PB-66-WH-0580,324.27
HP-05-WI-0581,148.65
OD-23-WJ-0582,43.33
UP-95-WK-0583,331.47
MH-36-WL-0584,234.65
KA-48-WM-0585,48.89
UP-42-WN-0586,435.19
MP-19-WO-0587,145.02
MH-44-WP-0588,391.52
HP-10-WQ-0589,101.32
RJ-01-WR-0590,392.4
MH-47-WS-0591,65.07
AR-08-WT-0592,313.93
NL-04-WU-0593,437.25
TN-31-WV-0594,216.11
PB-28-WW-0595,272.67
JK-21-WX-0596,419.86
HP-33-WY-0597,379.95
PB-32-WZ-0598,432.23
TN-02-XA-0599,16.41
HR-31-XB-0600,280.05
UP-42-XC-0601,440.96
MP-22-XD-0602,150.4
JK-01-XE-0603,457.97
KL-44-XF-0604,181.56
DL-12-XG-0605,363.75
MH-37-XH-0606,127.26
JK-22-XI-0607,264.5
KL-55-XJ-0608,313.91
RJ-31-XK-0609,190.19
OD-08-XL-0610,98.9
MP-46-XM-0611,326.12
MP-70-XN-0612,464.75
GJ-6-XO-0613,462.83
TN-60-XP-0614,61.14
MH-50-XQ-0615,361.09
WB-89-XR-0616,385.71
RJ-10-XS-0617,28.28
HR-60-XT-0618,125.95
PB-53-XU-0619,281.41
MH-01-XV-0620,150.83
CG-26-XW-0621,290.78
JK-15-XX-0622,22.47
DL-10-XY-0623,197.2
JH-22-XZ-0624,241.59
JK-13-YA-0625,295.6
RJ-43-YB-0626,21.28
OD-09-YC-0627,417.13
GJ-32-YD-0628,223.95
TN-42-YE-0629,76.23
KL-62-YF-0630,207.46
MH-10-YG-0631,474.37
OD-18-YH-0632,142.49
HR-17-YI-0633,240.1
TN-61-YJ-0634,87.53
KL-27-YK-0635,66.24
GJ-12-YL-0636,361.87
GJ-3-YM-0637,302.2
PB-01-YN-0638,306.21
HP-22-YO-0639,382.04
WB-74-YP-0640,421.66
KL-30-YQ-0641,18.67
MH-14-YR-0642,392.04
GJ-20-YS-0643,19.35
HP-18-YT-0644,117.98
PB-07-YU-0645,308.73
MP-27-YV-0646,217.27
GJ-16-YW-0647,485.93
GJ-12-YX-0648,385.77
WB-58-YY-0649,497.15
MH-04-YZ-0650,157.33
KA-21-ZA-0651,340.28
PB-65-ZB-0652,222.35
AP-23-ZC-0653,106.8
MH-22-ZD-0654,247.65
OD-26-ZE-0655,269.37
RJ-05-ZF-0656,151.21
AS-03-ZG-0657,476.63
BR-56-ZH-0658,472.55
OD-11-ZI-0659,160.71
RJ-14-ZJ-0660,477.47
BR-24-ZK-0661,54.15
BR-07-ZL-0662,214.19
JK-04-ZM-0663,279.68
KA-41-ZN-0664,311.62
JH-16-ZO-0665,139.64
TN-20-ZP-0666,356.39
HR-70-ZQ-0667,367.45
KL-43-ZR-0668,450.99
BR-51-ZS-0669,337.93
MH-46-ZT-0670,462.99
GA-11-ZU-0671,499.83
UP-30-ZV-0672,14.01
UP-56-ZW-0673,25.32
AP-24-ZX-0674,220.4
PB-14-ZY-0675,281.91
WB-14-ZZ-0676,94.22
UA-10-AA-0677,63.83
JK-07-AB-0678,180.76
TN-07-AC-0679,282.84
CG-22-AD-0680,187.22
UP-22-AE-0681,114.4
KA-25-AF-0682,479.3
HR-29-AG-0683,152.68
PY-03-AH-0684,419.39
TN-46-AI-0685,55.77
HR-68-AJ-0686,456.14
HR-25-AK-0687,12.06
LD-02-AL-0688,102.71
BR-11-AM-0689,90.85
TN-11-AN-0690,349.73
RJ-42-AO-0691,330.23
GJ-18-AP-0692,170.23
PB-65-AQ-0693,27.3
RJ-11-AR-0694,490.68
MH-43-AS-0695,199.7
AP-23-AT-0696,140.53
DL-8-AU-0697,417.84
UP-85-AV-0698,310.34
WB-13-AW-0699,176.19
MP-18-AX-0700,236.81
CH-01-AY-0701,55.3
RJ-05-AZ-0702,54.87
GA-09-BA-0703,156.7
AP-04-BB-0704,184.2
MP-18-BC-0705,299.79
AP-01-BD-0706,51.62
KA-49-BE-0707,159.93
AS-16-BF-0708,21.2
UP-45-BG-0709,180.96
WB-61-BH-0710,26.48
RJ-15-BI-0711,387.59
PB-29-BJ-0712,475.4
HR-03-BK-0713,134.68
HP-32-BL-0714,88.04
KL-31-BM-0715,458.83
CG-09-BN-0716,440.12
KL-51-BO-0717,112.75
UP-84-BP-0718,101.64
MP-32-BQ-0719,92.28
NL-02-BR-0720,446.38
TN-30-BS-0721,74.87
PB-47-BT-0722,44.75
TN-07-BU-0723,182.55
MH-42-BV-0724,344.13
OD-17-BW-0725,317.96
KL-08-BX-0726,227.19
KA-50-BY-0727,56.9
UP-44-BZ-0728,358.56
HR-70-CA-0729,233.71
HR-46-CB-0730,60.04
HR-27-CC-0731,323.47
KA-21-CD-0732,184.05
WB-89-CE-0733,453.56
UP-82-CF-0734,142.12
KL-20-CG-0735,462.47
KL-49-CH-0736,202.76
BR-26-CI-0737,28.79
HP-48-CJ-0738,40.24
UP-82-CK-0739,365.67
NL-05-CL-0740,402.28
HP-27-CM-0741,270.96
PB-20-CN-0742,463.35
JK-18-CO-0743,209.3
KL-01-CP-0744,357.22
HR-06-CQ-0745,293.16
RJ-28-CR-0746,476.99
MP-10-CS-0747,308.86
HP-30-CT-0748,436.32
GJ-14-CU-0749,391.32
CG-06-CV-0750,481.65
